rep,id,r,delta,beta,v,site
1,P1_Rectum,2.66161,0.649985,2.4118e-08,417.601,Rectum
2,P1_Rectum,0.692917,0.490446,1.56079e-09,2727.66,Rectum
3,P1_Rectum,5.67216,0.485733,3.43702e-07,0.808201,Rectum
4,P1_Rectum,9.27868,0.473718,1.8508e-09,7.04496,Rectum
5,P1_Rectum,2.17911,0.693078,1.67287e-08,40326.4,Rectum
6,P1_Rectum,8.58593,0.684876,2.96063e-09,353.406,Rectum
7,P1_Rectum,7.2755,0.380205,4.20673e-08,242179,Rectum
8,P1_Rectum,7.89255,0.401261,8.8459e-08,1.70601e+06,Rectum
9,P1_Rectum,1.95387,0.661793,5.66618e-09,0.00192764,Rectum
10,P1_Rectum,3.58336,0.256814,1.85912e-08,13135.2,Rectum
1,P2_Rectum,2.9789,0.784482,1.70481e-08,7.50898e+06,Rectum
2,P2_Rectum,6.20434,0.327298,4.34375e-08,3239.29,Rectum
3,P2_Rectum,0.516918,0.573167,8.25152e-08,5.8286e+08,Rectum
4,P2_Rectum,6.90194,0.719967,1.25434e-08,212176,Rectum
5,P2_Rectum,4.27307,0.433003,1.5846e-08,17455.3,Rectum
6,P2_Rectum,3.69626,0.68165,2.7596e-09,9.51164e+07,Rectum
7,P2_Rectum,4.3513,0.809816,1.41302e-08,25940.2,Rectum
8,P2_Rectum,15.8354,0.454982,3.14221e-08,1.2578e+06,Rectum
9,P2_Rectum,24.4318,0.465478,5.16582e-07,463229,Rectum
10,P2_Rectum,5.23712,0.84955,2.4182e-09,45605.9,Rectum
1,P3_Rectum,1.23438,0.422239,3.84341e-08,2.28663e+08,Rectum
2,P3_Rectum,9.02033,0.59968,2.48941e-08,2.08692e+07,Rectum
3,P3_Rectum,13.6621,0.903126,2.71959e-08,251049,Rectum
4,P3_Rectum,2.05813,1.22457,5.78915e-08,149215,Rectum
5,P3_Rectum,4.21808,0.570046,4.57033e-08,2452.9,Rectum
6,P3_Rectum,5.1275,0.81473,6.29054e-08,5363.33,Rectum
7,P3_Rectum,1.17726,1.11085,1.07468e-07,4.30731e+09,Rectum
8,P3_Rectum,10.1481,0.590523,1.2352e-07,195301,Rectum
9,P3_Rectum,3.88187,0.504858,6.01259e-08,720.511,Rectum
10,P3_Rectum,14.1785,0.541035,7.75457e-09,2508.82,Rectum
1,P4_Rectum,2.76053,0.944499,1.93017e-08,1915.58,Rectum
2,P4_Rectum,1.35093,0.613297,2.67328e-07,6017.72,Rectum
3,P4_Rectum,2.46399,1.39759,2.82726e-08,1304.3,Rectum
4,P4_Rectum,1.27046,1.16689,2.83366e-08,1.38874e+07,Rectum
5,P4_Rectum,1.0563,0.766765,6.09513e-08,661968,Rectum
6,P4_Rectum,4.00845,1.26119,5.70085e-08,117154,Rectum
7,P4_Rectum,3.72882,0.449331,7.63338e-08,1.41683e+06,Rectum
8,P4_Rectum,1.97669,2.11787,5.81829e-08,275423,Rectum
9,P4_Rectum,4.24124,1.22897,9.60103e-09,681.216,Rectum
10,P4_Rectum,1.68845,0.838755,3.63786e-08,16.5798,Rectum
1,P5_Rectum,1.78595,1.57865,2.61965e-08,1141.52,Rectum
2,P5_Rectum,3.06025,0.572871,7.99216e-09,14.9803,Rectum
3,P5_Rectum,2.53627,0.900438,7.67172e-09,675992,Rectum
4,P5_Rectum,4.68767,0.574002,3.47262e-08,1.1521e+08,Rectum
5,P5_Rectum,2.10491,1.05659,8.33677e-08,3.32047,Rectum
6,P5_Rectum,8.30152,0.949862,7.09758e-09,5.32832,Rectum
7,P5_Rectum,5.64271,0.734924,5.17279e-08,1.03895e+07,Rectum
8,P5_Rectum,9.80833,0.357437,1.40043e-08,1.06685e+06,Rectum
9,P5_Rectum,5.11454,0.460539,5.09367e-08,3453.17,Rectum
10,P5_Rectum,4.31825,1.06343,3.34407e-08,14.2186,Rectum
1,P6_Rectum,21.5699,0.270989,4.70009e-08,87122.1,Rectum
2,P6_Rectum,7.70607,1.80378,1.61255e-08,205.639,Rectum
3,P6_Rectum,3.25334,0.656553,2.59552e-07,15747.3,Rectum
4,P6_Rectum,5.47718,0.487417,6.81886e-09,4.54596e+06,Rectum
5,P6_Rectum,5.59012,1.25571,5.48829e-09,2049.26,Rectum
6,P6_Rectum,4.45069,0.96148,3.06194e-08,19219.3,Rectum
7,P6_Rectum,8.00871,0.390384,6.02191e-09,1.42933e+06,Rectum
8,P6_Rectum,7.31394,1.39569,8.8132e-08,6.74352,Rectum
9,P6_Rectum,3.61677,0.937199,7.71429e-08,101.414,Rectum
10,P6_Rectum,2.89084,0.49033,1.62002e-08,2975.58,Rectum
1,P7_Rectum,3.10191,1.10046,9.71941e-08,62213.1,Rectum
