rep,id,eta_r,eta_delta,eta_beta,eta_v,site
1,P1_Rectum,-0.181251,-0.298288,-0.115976,-3.25,Rectum
2,P1_Rectum,-1.52702,-0.579922,-2.85374,-1.37333,Rectum
3,P1_Rectum,0.575391,-0.589578,2.54084,-9.49748,Rectum
4,P1_Rectum,1.06754,-0.614624,-2.68332,-7.33222,Rectum
5,P1_Rectum,-0.381263,-0.234094,-0.481808,1.32023,Rectum
6,P1_Rectum,0.989944,-0.245999,-2.21353,-3.41691,Rectum
7,P1_Rectum,0.824332,-0.834527,0.440336,3.1129,Rectum
8,P1_Rectum,0.90574,-0.780624,1.18361,5.06514,Rectum
9,P1_Rectum,-0.490368,-0.280284,-1.56442,-15.536,Rectum
10,P1_Rectum,0.11612,-1.22688,-0.376244,0.198522,Rectum
1,P2_Rectum,-0.0686262,-0.110213,-0.462897,6.54708,Rectum
2,P2_Rectum,0.665069,-0.984365,0.47239,-1.20142,Rectum
3,P2_Rectum,-1.82005,-0.42406,1.11405,10.8989,Rectum
4,P2_Rectum,0.771622,-0.196031,-0.76974,2.98064,Rectum
5,P2_Rectum,0.292152,-0.704492,-0.536015,0.482868,Rectum
6,P2_Rectum,0.147141,-0.25072,-2.28385,9.08608,Rectum
7,P2_Rectum,0.310295,-0.0784293,-0.650619,0.879018,Rectum
8,P2_Rectum,1.60207,-0.654978,0.148578,4.76034,Rectum
9,P2_Rectum,2.03571,-0.632172,2.9483,3.76144,Rectum
10,P2_Rectum,0.495592,-0.0305295,-2.41591,1.44326,Rectum
1,P3_Rectum,-0.949612,-0.729665,0.350011,9.96323,Rectum
2,P3_Rectum,1.0393,-0.378841,-0.0843046,7.56926,Rectum
3,P3_Rectum,1.45444,0.030626,0.00413319,3.14887,Rectum
4,P3_Rectum,-0.438382,0.335106,0.759636,2.62861,Rectum
5,P3_Rectum,0.2792,-0.429519,0.523236,-1.4795,Rectum
6,P3_Rectum,0.474438,-0.0723798,0.842697,-0.69719,Rectum
7,P3_Rectum,-0.996992,0.237642,1.37826,12.899,Rectum
8,P3_Rectum,1.1571,-0.394228,1.51746,2.89777,Rectum
9,P3_Rectum,0.196138,-0.55096,0.797507,-2.70457,Rectum
10,P3_Rectum,1.49155,-0.481754,-1.25065,-1.45696,Rectum
1,P4_Rectum,-0.144758,0.0754181,-0.33874,-1.72675,Rectum
2,P4_Rectum,-0.859384,-0.356388,2.28954,-0.582067,Rectum
3,P4_Rectum,-0.258397,0.467272,0.0429581,-2.11111,Rectum
4,P4_Rectum,-0.9208,0.28686,0.0452215,7.16196,Rectum
5,P4_Rectum,-1.10541,-0.133056,0.811141,4.11844,Rectum
6,P4_Rectum,0.228225,0.364574,0.744267,2.38671,Rectum
7,P4_Rectum,0.155912,-0.667477,1.03618,4.8794,Rectum
8,P4_Rectum,-0.478758,0.882932,0.764657,3.24153,Rectum
9,P4_Rectum,0.284676,0.338695,-1.03706,-2.76065,Rectum
10,P4_Rectum,-0.636369,-0.0433183,0.295046,-6.47634,Rectum
1,P5_Rectum,-0.580232,0.589088,-0.0333095,-2.24442,Rectum
2,P5_Rectum,-0.0416819,-0.424576,-1.22047,-6.5778,Rectum
3,P5_Rectum,-0.229484,0.0276443,-1.26139,4.13941,Rectum
4,P5_Rectum,0.384755,-0.422604,0.248561,9.27774,Rectum
5,P5_Rectum,-0.415906,0.18757,1.12433,-8.08442,Rectum
6,P5_Rectum,0.956259,0.0810798,-1.33918,-7.61149,Rectum
7,P5_Rectum,0.570184,-0.17547,0.647063,6.87177,Rectum
8,P5_Rectum,1.12305,-0.896278,-0.659572,4.59569,Rectum
9,P5_Rectum,0.471907,-0.642838,0.63165,-1.13748,Rectum
10,P5_Rectum,0.302671,0.194014,0.210839,-6.62998,Rectum
1,P6_Rectum,1.91112,-1.17316,0.551232,2.09054,Rectum
2,P6_Rectum,0.881828,0.722402,-0.518531,-3.95841,Rectum
3,P6_Rectum,0.0195032,-0.288233,2.26002,0.379893,Rectum
4,P6_Rectum,0.540411,-0.586117,-1.37924,6.04522,Rectum
5,P6_Rectum,0.560821,0.360221,-1.59632,-1.6593,Rectum
6,P6_Rectum,0.332879,0.0932371,0.122699,0.579138,Rectum
7,P6_Rectum,0.92035,-0.808105,-1.50353,4.88818,Rectum
8,P6_Rectum,0.829602,0.465907,1.1799,-7.37595,Rectum
9,P6_Rectum,0.125401,0.067659,1.04673,-4.66532,Rectum
10,P6_Rectum,-0.0986333,-0.580157,-0.51391,-1.28634,Rectum
1,P7_Rectum,-0.0281636,0.228243,1.27778,1.75379,Rectum
2,P7_Rectum,0.334773,0.352985,2.54128,-4.28165,Rectum
3,P7_Rectum,-0.743711,0.0596584,0.769788,-4.12948,Rectum
4,P7_Rectum,-0.715469,-0.0165344,-0.352572,-0.634954,Rectum
5,P7_Rectum,0.761516,0.790748,0.163358,-8.55899,Rectum
6,P7_Rectum,0.605854,-0.241407,2.23315,-3.76726,Rectum
7,P7_Rectum,0.568825,0.112191,-0.577559,1.66845,Rectum
8,P7_Rectum,0.499677,-0.103477,0.0599893,-1.3091,Rectum
9,P7_Rectum,-0.0178196,-0.26863,0.32539,-7.09292,Rectum
10,P7_Rectum,-0.249035,0.220922,0.108855,5.20386,Rectum
1,P8_Rectum,-0.937604,-0.113352,1.27886,7.7071,Rectum
2,P8_Rectum,-2.73163,-0.299636,-1.15329,4.42798,Rectum
