parameter,value,CV,se_sa,rse_sa,P2.5_sa,P97.5_sa
r_pop,3.19050752761746,,0.657684691068512,20.6137953092261,2.1557,4.72206
delta_pop,0.889297135835217,,0.252369345059554,28.3785176956105,0.525115,1.50605
beta_delta_site_Rectum,-0.0151947994178594,,0.420393064170735,2766.69044855322,-0.83915,0.80876
beta_delta_site_Saliva,-0.0439842189890106,,0.417412028796078,949.00407098366,-0.862097,0.774128
beta_pop,2.15256317435285e-06,,6.299847904635e-06,292.667271265058,2.41887e-07,1.91557e-05
beta_beta_site_Rectum,-4.37548037201419,,1.45533068648031,33.2610493647438,-7.22788,-1.52308
beta_beta_site_Saliva,-2.37682393361182,,2.0145374981644,84.7575400800981,-6.32524,1.5716
v_pop,47.1180539601294,,134926.530854773,286358.453956835,0.186918,11877.4
beta_v_site_Rectum,5.43187469610818,,4.25700078414033,78.3707471600989,-2.91169,13.7754
beta_v_site_Saliva,1.06958831576699,,4.73498290787426,442.692093591061,-8.21081,10.35
omega_r,0.843417483175193,101.820686262831,0.180376072412342,21.3863331043701,0.562044,1.26565
omega_delta,0.518651159685654,55.5566256794289,0.281477957043239,54.2711515797705,0.209713,1.2827
omega_beta,1.23497883179189,189.629567524439,0.481334171635623,38.9750948959372,0.616387,2.47438
omega_v,5.07260449835607,38679812.6270493,1.8380254578219,36.234353741112,2.63956,9.74834
a,1.40209817309319,,0.0858497481921355,6.12294843824961,1.24396,1.58034
