parameter,value,CV,se_sa,rse_sa,P2.5_sa,P97.5_sa
delta_site_Oropharynx,0.889297135835217,,0.252369345059554,28.3785176956105,0.525114501286687,1.50605133521718
delta_site_Rectum,0.875886587549082,,0.273436560098821,31.2182609011008,0.493507857063178,1.5545392100012
delta_site_Saliva,0.851029843512299,,0.254292374987516,29.8805473070159,0.49012924332625,1.47767513244762
beta_site_Oropharynx,2.15256317435285e-06,,6.299847904635e-06,292.667271265058,2.41887278057918e-07,1.91557334341104e-05
beta_site_Rectum,2.70837580197996e-08,,2.43781707740945e-08,90.0102960463345,7.54686694874288e-09,9.71966186043926e-08
beta_site_Saliva,1.99854709799517e-07,,2.40545636682497e-06,1203.6025416854,8.85007249686466e-09,4.51317263708286e-06
v_site_Oropharynx,47.1180539601294,,134926.530854773,286358.453956835,0.186918223808376,11877.4454612069
v_site_Rectum,10770.1202454652,,9610423.02084915,89232.2722663719,65.0840524685789,1782241.35870733
v_site_Saliva,137.310468401748,,325688745.735149,237191489.859488,0.0752413264017654,250582.567245454
omega_r,0.843417483175193,101.820686262831,0.180376072412342,21.3863331043701,0.562044,1.26565
omega_delta,0.518651159685654,55.5566256794289,0.281477957043239,54.2711515797705,0.209713,1.2827
omega_beta,1.23497883179189,189.629567524439,0.481334171635623,38.9750948959372,0.616387,2.47438
omega_v,5.07260449835607,38679812.6270493,1.8380254578219,36.234353741112,2.63956,9.74834
a,1.40209817309319,,0.0858497481921355,6.12294843824961,1.24396,1.58034
